Felvétel neve,Áthallás mértéke (3-as skála; 1 = nincs áthallás; 2 = van áthallás; 3 = erős az áthallás),“Másik” hangjának kezdete,“Másik” hangjának vége
pair16_Gondor_freeConv_audio.wav,3,6:55,7:13
pair16_Mordor_freeConv_audio.wav,3,9:06,9:12
pair30_Gondor_freeConv_audio.wav,3,7:25,7:33
pair30_Mordor_freeConv_audio.wav,3,7:05,7:12
pair31_Gondor_freeConv_audio.wav,3, 9:02,9:13
pair31_Mordor_freeConv_audio.wav,2,5:40,5:46
pair32_Gondor_freeConv_audio.wav,3,6:39,6:45
pair32_Mordor_freeConv_audio.wav,3,9:16,9:25
pair33_Gondor_freeConv_audio.wav,3,2:57,3:03
pair33_Mordor_freeConv_audio.wav,3,4:13,4:24
pair34_Gondor_freeConv_audio.wav,2,7:40,7:48
pair34_Mordor_freeConv_audio.wav,2,5:06,5:30
pair35_Gondor_freeConv_audio.wav,3,7:13,7:19
pair35_Mordor_freeConv_audio.wav,3,9:07,9:15
pair36_Gondor_freeConv_audio.wav,1,6:07,6:20
pair36_Mordor_freeConv_audio.wav,3,7:49,8:00
pair37_Gondor_freeConv_audio.wav,2,6:07,6:18
pair37_Mordor_freeConv_audio.wav,2,6:36,7:00
pair38_Gondor_freeConv_audio.wav,3,7:31,7:40
pair38_Mordor_freeConv_audio.wav,3,7:10,7:17
pair39_Gondor_freeConv_audio.wav,3,5:43,6:01
pair39_Mordor_freeConv_audio.wav,2,6:12,6:23
pair40_Gondor_freeConv_audio.wav,2,3:27,3:36
pair40_Mordor_freeConv_audio.wav,1,1:45,1:49
pair41_Gondor_freeConv_audio.wav,3,8:27,8:35
pair41_Mordor_freeConv_audio.wav,3,5:22,5:28
pair42_Gondor_freeConv_audio.wav,3,4:08,4:16
pair42_Mordor_freeConv_audio.wav,3,6:29,6:35
pair43_Gondor_freeConv_audio.wav,3,5:19,5:32
pair43_Mordor_freeConv_audio.wav,2,8:43,9:00
pair44_Gondor_freeConv_audio.wav,3,5:49,5:56
pair44_Mordor_freeConv_audio.wav,3,7:02,7:09
pair45_Gondor_freeConv_audio.wav,3,4:23,4:32
pair45_Mordor_freeConv_audio.wav,3,8:33,8:40
pair46_Gondor_freeConv_audio.wav,3,6:50,7:01
pair46_Mordor_freeConv_audio.wav,3,8:46,9:15
pair47_Gondor_freeConv_audio.wav,2,6:33,6:42
pair47_Mordor_freeConv_audio.wav,3,7:47,7:55
pair48_Gondor_freeConv_audio.wav,3,5:15,5:29
pair48_Mordor_freeConv_audio.wav,3,7:02,7:09
pair49_Gondor_freeConv_audio.wav,3,7:50,7:56
pair49_Mordor_freeConv_audio.wav,3,6:27,6:33
pair50_Gondor_freeConv_audio.wav,3,8:16,8:33
pair50_Mordor_freeConv_audio.wav,3,6:20,6:26
pair51_Gondor_freeConv_audio.wav,3,6:00,6:11
pair51_Mordor_freeConv_audio.wav,3,7:56,8:16
pair52_Gondor_freeConv_audio.wav,3,7:06,7:14
pair52_Mordor_freeConv_audio.wav,3,11:40,11:45
pair53_Gondor_freeConv_audio.wav,3,6:40,6:50
pair53_Mordor_freeConv_audio.wav,3,6:59,7:09
pair54_Gondor_freeConv_audio.wav,2,6:21,6:34
pair54_Mordor_freeConv_audio.wav,2,7:24,7:29
pair55_Gondor_freeConv_audio.wav,3,7:00,7:10
pair55_Mordor_freeConv_audio.wav,3,7:30,7:37
pair56_Gondor_freeConv_audio.wav,2,6:38,6:45
pair56_Mordor_freeConv_audio.wav,3,6:12,6:30
pair57_Gondor_freeConv_audio.wav,3,6:17,6:24
pair57_Mordor_freeConv_audio.wav,3,7:23,7:33
pair58_Gondor_freeConv_audio.wav,2,7:07,7:13
pair58_Mordor_freeConv_audio.wav,2,9:09,9:15
pair59_Gondor_freeConv_audio.wav,3,5:50,6:00
pair59_Mordor_freeConv_audio.wav,3,6:53,7:00
pair60_Gondor_freeConv_audio.wav,3,7:30,7:36
pair60_Mordor_freeConv_audio.wav,2,6:50,7:01
pair61_Gondor_freeConv_audio.wav,2,6:50,7:05
pair61_Mordor_freeConv_audio.wav,2,7:53,8:02
pair62_Gondor_freeConv_audio.wav,2,5:47,5:56
pair62_Mordor_freeConv_audio.wav,2,7:41,8:00
pair63_Gondor_freeConv_audio.wav,2,8:46,9:00
pair63_Mordor_freeConv_audio.wav,2,6:24,6:30
pair64_Gondor_freeConv_audio.wav,3,6:23,6:36
pair64_Mordor_freeConv_audio.wav,3,7:18,7:25
pair65_Gondor_freeConv_audio.wav,2,6:30,6:37
pair65_Mordor_freeConv_audio.wav,3,10:54,11:06
pair66_Gondor_freeConv_audio.wav,3,8:28,8:37
pair66_Mordor_freeConv_audio.wav,3,5:11,5:30
pair67_Gondor_freeConv_audio.wav,3,8:04,8:14
pair67_Mordor_freeConv_audio.wav,3,6:54,7:02
pair68_Gondor_freeConv_audio.wav,3,6:41,6:47
pair68_Mordor_freeConv_audio.wav,3,7:48,8:00
pair69_Gondor_freeConv_audio.wav,3,9:58,10:08
pair69_Mordor_freeConv_audio.wav,3,6:28,6:37
pair70_Gondor_freeConv_audio.wav,3,4:31,4:39
pair70_Mordor_freeConv_audio.wav,3,6:15,6:25
pair71_Gondor_freeConv_audio.wav,2,5:14,5:20
pair71_Mordor_freeConv_audio.wav,3,5:20,5:30
pair72_Gondor_freeConv_audio.wav,3,7:25,7:33
pair72_Mordor_freeConv_audio.wav,3,5:43,5:50
pair73_Gondor_freeConv_audio.wav,3,7:01,7:07
pair73_Mordor_freeConv_audio.wav,3,8:25,8:37
pair74_Gondor_freeConv_audio.wav,3,5:59,6:07
pair74_Mordor_freeConv_audio.wav,3,7:16,7:22
pair75_Gondor_freeConv_audio.wav,3,6:32,6:44
pair75_Mordor_freeConv_audio.wav,3,1:07,1:37
pair76_Gondor_freeConv_audio.wav,3,7:10,7:21
pair76_Mordor_freeConv_audio.wav,3,8:30,8:38
pair77_Gondor_freeConv_audio.wav,3,5:44,5:49
pair77_Mordor_freeConv_audio.wav,3,8:56,9:04
pair78_Gondor_freeConv_audio.wav,3,4:36,4:46
pair78_Mordor_freeConv_audio.wav,3,6:08,6:15
pair79_Gondor_freeConv_audio.wav,2,6:46,6:52
pair79_Mordor_freeConv_audio.wav,2,7:20,7:27
pair80_Gondor_freeConv_audio.wav,3,7:20,7:26
pair80_Mordor_freeConv_audio.wav,3,7:45,8:00
pair81_Gondor_freeConv_audio.wav,3,7:08,7:18
pair81_Mordor_freeConv_audio.wav,2,8:20,8:27
pair82_Gondor_freeConv_audio.wav,2,10:32,10:38
pair82_Mordor_freeConv_audio.wav,2,4:27,4:40
pair83_Gondor_freeConv_audio.wav,2,6:10,6:18
pair83_Mordor_freeConv_audio.wav,2,7:43,8:00
pair84_Gondor_freeConv_audio.wav,2,6:13,6:30
pair84_Mordor_freeConv_audio.wav,2,6:45,6:53
pair85_Gondor_freeConv_audio.wav,3,7:25,7:31
pair85_Mordor_freeConv_audio.wav,3,8:32,8:40
pair86_Gondor_freeConv_audio.wav,3,8:31,8:39
pair86_Mordor_freeConv_audio.wav,3,6:32,6:42
pair87_Gondor_freeConv_audio.wav,2,8:50,8:57
pair87_Mordor_freeConv_audio.wav,2,7:36,7:50
pair88_Gondor_freeConv_audio.wav,2,6:36,6:44
pair88_Mordor_freeConv_audio.wav,2,7:00,7:10
pair89_Gondor_freeConv_audio.wav,3,7:21,7:29
pair89_Mordor_freeConv_audio.wav,2,9:51,10:03
pair90_Gondor_freeConv_audio.wav,2,7:22,7:32
pair90_Mordor_freeConv_audio.wav,3,6:33,6:41
pair91_Gondor_freeConv_audio.wav,2,4:56,5:06
pair91_Mordor_freeConv_audio.wav,2,6:40,6:55
pair92_Gondor_freeConv_audio.wav,2,11:06,11:20
pair92_Mordor_freeConv_audio.wav,3,6:19,6:28
pair93_Gondor_freeConv_audio.wav,2,7:56,8:04
pair93_Mordor_freeConv_audio.wav,3,3:26,3:33
pair94_Gondor_freeConv_audio.wav,2,6:53,7:03
pair94_Mordor_freeConv_audio.wav,2,7:50,8:05
pair95_Gondor_freeConv_audio.wav,2,5:28,5:37
pair95_Mordor_freeConv_audio.wav,3,5:48,5:57
pair96_Gondor_freeConv_audio.wav,3,3:44,3:52
pair96_Mordor_freeConv_audio.wav,3,8:20,8:31
pair97_Gondor_freeConv_audio.wav,3,9:30,9:41
pair97_Mordor_freeConv_audio.wav,3,7:36,7:50
pair98_Gondor_freeConv_audio.wav,3,6:51,6:58
pair98_Mordor_freeConv_audio.wav,3,2:24,2:36
pair99_Gondor_freeConv_audio.wav,3,5:56,6:05
pair99_Mordor_freeConv_audio.wav,3,3:51,3:59
pair100_Gondor_freeConv_audio.wav,3,7:01,7:11
pair100_Mordor_freeConv_audio.wav,3,8:26,8:35
pair101_Gondor_freeConv_audio.wav,3,2:50,3:04
pair101_Mordor_freeConv_audio.wav,3,11:30,11:46
pair102_Gondor_freeConv_audio.wav,2,7:00,7:08
pair102_Mordor_freeConv_audio.wav,3,6:13,6:30
pair103_Gondor_freeConv_audio.wav,2,5:31,5:38
pair103_Mordor_freeConv_audio.wav,3,6:45,7:08
pair104_Gondor_freeConv_audio.wav,2,6:22,6:30
pair104_Mordor_freeConv_audio.wav,2,6:42,6:48
pair105_Gondor_freeConv_audio.wav,2,5:34,5:44
pair105_Mordor_freeConv_audio.wav,3,6:19,6:40
pair106_Gondor_freeConv_audio.wav,2,5:11,5:26
pair106_Mordor_freeConv_audio.wav,3,7:43,7:57
pair107_Gondor_freeConv_audio.wav,3,5:54,6:00
pair107_Mordor_freeConv_audio.wav,3,11:20,11:35
pair108_Gondor_freeConv_audio.wav,2,4:49,4:58
pair108_Mordor_freeConv_audio.wav,3,5:39,5:48
pair109_Gondor_freeConv_audio.wav,2,4:19,4:28
pair109_Mordor_freeConv_audio.wav,3,6:23,6:30
pair110_Gondor_freeConv_audio.wav,2,4:45,4:55
pair110_Mordor_freeConv_audio.wav,2,3:11,3:24
pair111_Gondor_freeConv_audio.wav,2,5:24,5:37
pair111_Mordor_freeConv_audio.wav,3,5:57,6:20
pair112_Gondor_freeConv_audio.wav,2,7:20,7:30
pair112_Mordor_freeConv_audio.wav,2,7:56,8:06
pair113_Gondor_freeConv_audio.wav,2,12:41,12:51
pair113_Mordor_freeConv_audio.wav,2,7:47,8:00
pair114_Gondor_freeConv_audio.wav,2,5:37,5:47
pair114_Mordor_freeConv_audio.wav,2,6:13,6:33
pair115_Gondor_freeConv_audio.wav,2,6:09,6:22
pair115_Mordor_freeConv_audio.wav,2,4:58,5:06
pair116_Gondor_freeConv_audio.wav,2,4:57,5:06
pair116_Mordor_freeConv_audio.wav,2,8:18,8:27
pair117_Gondor_freeConv_audio.wav,2,8:12,8:19
pair117_Mordor_freeConv_audio.wav,3,11:25,11:38
pair118_Gondor_freeConv_audio.wav,2,12:29,12:45
pair118_Mordor_freeConv_audio.wav,3,7:06,7:16
pair119_Gondor_freeConv_audio.wav,2,7:03,7:11
pair119_Mordor_freeConv_audio.wav,3,6:07,6:16
pair120_Gondor_freeConv_audio.wav,2,6:33,6:41
pair120_Mordor_freeConv_audio.wav,3,6:58,7:16
pair121_Gondor_freeConv_audio.wav,2,11:04,11:25
pair121_Mordor_freeConv_audio.wav,3,7:58,8:07
pair122_Gondor_freeConv_audio.wav,2,7:16,7:22
pair122_Mordor_freeConv_audio.wav,2,8:50,8:58
pair123_Gondor_freeConv_audio.wav,2,6:52,7:01
pair123_Mordor_freeConv_audio.wav,3,7:25,7:35
pair124_Gondor_freeConv_audio.wav,3,9:39,9:48
pair124_Mordor_freeConv_audio.wav,3,4:34,4:40
pair125_Gondor_freeConv_audio.wav,3,5:59,6:11
pair125_Mordor_freeConv_audio.wav,3,6:41,6:50
pair126_Gondor_freeConv_audio.wav,2,1:36,1:42
pair126_Mordor_freeConv_audio.wav,3,3:21,3:27
pair127_Gondor_freeConv_audio.wav,2,5:40,5:50
pair127_Mordor_freeConv_audio.wav,2,5:10,5:25
pair128_Gondor_freeConv_audio.wav,3,5:29,5:39
pair128_Mordor_freeConv_audio.wav,3,6:16,6:30
pair129_Gondor_freeConv_audio.wav,3,5:26,5:38
pair129_Mordor_freeConv_audio.wav,3,8:50,8:58
pair130_Gondor_freeConv_audio.wav,2,7:15,7:23
pair130_Mordor_freeConv_audio.wav,3,5:48,5:59
pair131_Gondor_freeConv_audio.wav,3,4:33,4:39
pair131_Mordor_freeConv_audio.wav,3,4:51,5:02
pair132_Gondor_freeConv_audio.wav,2,5:16,5:26
pair132_Mordor_freeConv_audio.wav,2,10:40,10:49
pair133_Gondor_freeConv_audio.wav,2,2:00,2:14
pair133_Mordor_freeConv_audio.wav,1,4:18,4:25
pair134_Gondor_freeConv_audio.wav,2,6:20,6:30
pair134_Mordor_freeConv_audio.wav,1,10:37,10:50
pair135_Gondor_freeConv_audio.wav,2,7:32,7:48
pair135_Mordor_freeConv_audio.wav,3,6:15,6:24
pair136_Gondor_freeConv_audio.wav,3,4:20,4:32
pair136_Mordor_freeConv_audio.wav,3,5:32,5:40
pair137_Gondor_freeConv_audio.wav,2,5:30,5:48
pair137_Mordor_freeConv_audio.wav,3,6:40,6:55
pair138_Gondor_freeConv_audio.wav,2,7:32,7:41
pair138_Mordor_freeConv_audio.wav,2,5:22,5:30
pair139_Gondor_freeConv_audio.wav,2,5:29,5:36
pair139_Mordor_freeConv_audio.wav,3,7:46,7:55
pair140_Gondor_freeConv_audio.wav,2,7:17,7:28
pair140_Mordor_freeConv_audio.wav,3,11:18,11:29
pair141_Gondor_freeConv_audio.wav,2,7:36,7:50
pair141_Mordor_freeConv_audio.wav,2,6:21,6:26
pair142_Gondor_freeConv_audio.wav,3,6:21,6:34
pair142_Mordor_freeConv_audio.wav,3,7:24,7:36
pair143_Gondor_freeConv_audio.wav,3,6:30,6:50
pair143_Mordor_freeConv_audio.wav,2,7:52,8:12
pair144_Gondor_freeConv_audio.wav,2,6:54,7:03
pair144_Mordor_freeConv_audio.wav,3,7:55,8:04
pair145_Gondor_freeConv_audio.wav,2,5:40,5:50
pair145_Mordor_freeConv_audio.wav,2,8:11,8:20
pair146_Gondor_freeConv_audio.wav,2,6:08,6:20
pair146_Mordor_freeConv_audio.wav,3,9:00,9:20
pair147_Gondor_freeConv_audio.wav,2,6:34,6:45
pair147_Mordor_freeConv_audio.wav,2,4:24,4:40
pair148_Gondor_freeConv_audio.wav,3,7:25,7:35
pair148_Mordor_freeConv_audio.wav,2,8:15,8:28
pair149_Gondor_freeConv_audio.wav,2,4:35,4:45
pair149_Mordor_freeConv_audio.wav,2,5:10,5:21
pair150_Gondor_freeConv_audio.wav,2,5:40,5:49
pair150_Mordor_freeConv_audio.wav,3,11:10,11:26
pair151_Gondor_freeConv_audio.wav,2,4:34,4:43
pair151_Mordor_freeConv_audio.wav,3,6:36,6:45
pair152_Gondor_freeConv_audio.wav,3,8:20,8:32
pair152_Mordor_freeConv_audio.wav,3,10:07,10:16
pair153_Gondor_freeConv_audio.wav,2,7:08,7:16
pair153_Mordor_freeConv_audio.wav,2,8:24,8:40
pair154_Gondor_freeConv_audio.wav,3,7:06,7:18
pair154_Mordor_freeConv_audio.wav,3,7:38,7:47
pair155_Gondor_freeConv_audio.wav,3,5:27,5:36
pair155_Mordor_freeConv_audio.wav,3,6:41,6:54
pair156_Gondor_freeConv_audio.wav,2,10:35,10:41
pair156_Mordor_freeConv_audio.wav,3,9:55,10:04
pair157_Gondor_freeConv_audio.wav,2,9:10,9:24
pair157_Mordor_freeConv_audio.wav,3,6:06,6:14
pair158_Gondor_freeConv_audio.wav,3,6:50,7:06
pair158_Mordor_freeConv_audio.wav,3,7:46,7:53
pair159_Gondor_freeConv_audio.wav,3,3:56,4:06
pair159_Mordor_freeConv_audio.wav,3,4:30,4:40
pair160_Gondor_freeConv_audio.wav,3,5:42,6:00
pair160_Mordor_freeConv_audio.wav,3,6:47,6:58
